shop,menu,format,base,milk,liquid,flavor,toppings,tops
Ten Ren's Tea Time,Almond Shredded Ice,shredded ice,other,0,almond,fruit,0,unspecified
Kung Fu Tea,Almond Milk Tea,tea,tea,1,almond,fruit,0,unspecified
OJBK Tea Shop,Almond Milk Tea,tea,tea,1,almond,fruit,0,unspecified
PaTea,Almond Milk Tea,tea,tea,1,almond,fruit,0,unspecified
Tea Magic,Almond Milk Tea,tea,tea,1,almond,fruit,0,unspecified
Ten Ren's Tea Time,Almond Milk,milk,milk,1,almond,fruit,0,unspecified
OJBK Tea Shop,4 Seasons Tea,green tea,tea,0,0,undefined,0,unspecified
OJBK Tea Shop,4 Seasons Green Milk Tea,green tea,tea,1,0,milk,0,unspecified
Shiny Tea,3Q Milk Tea,tea,tea,1,0,milk,undefined toppings,unspecified
ViVi Bubble Tea,3Q Milk Tea,tea,tea,1,0,milk,undefined toppings,unspecified
Mr. Wish,3 Q Milk Tea,tea,tea,1,0,milk,undefined toppings,unspecified
