shop,menu,format,base,milk,liquid,flavor,toppings,tops
Trutea,Taro Milk Tea,tea,tea,1,taro,taro,0,unspecified
ViVi Bubble Tea,Taro Milk Tea,tea,tea,1,taro,taro,0,unspecified
Gong Cha,Taro Milk Slush,slush,slush,1,taro,taro,0,unspecified
Tea Magic,Taro Milk Slush,slush,slush,1,taro,taro,0,unspecified
Ten Ren's Tea Time,Taro Milk,milk,milk,1,taro,taro,0,unspecified
Mr. Buncha,Taro Fresh Milk,milk,milk,1,taro,taro,0,unspecified
Xing Fu Tang,Taro Boba Milk Tea,tea,tea,1,taro,taro,0,unspecified
Tea and Milk,Signature Taro Root Milk Tea,tea,tea,1,taro,taro,0,unspecified
PaTea,Fresh Taro Smoothie,smoothie,smoothie,0,taro,taro,0,unspecified
Truedan,Classic Tea Latte,black tea,milk,1,tea,milk,0,unspecified
Gong Cha,Wintermelon Milk Tea,tea,tea,1,winter mellon,fruit,0,unspecified
Chun Yang Tea Chinatown,Winter Melon Tea,tea,tea,0,winter mellon,fruit,0,unspecified
Kung Fu Tea,Winter Melon Tea,tea,tea,0,winter mellon,fruit,0,unspecified
Coco Fresh Tea & Juice,Winter Melon Tea,tea,tea,0,winter mellon,fruit,0,unspecified
Shiny Tea,Winter Melon Premium Green Tea,green tea,tea,0,winter mellon,fruit,0,unspecified
Shiny Tea,Winter Melon Oolong Tea,Oolong tea,tea,0,winter mellon,fruit,0,unspecified
Kung Fu Tea,Winter Melon Milk Green Tea,green tea,tea,1,winter mellon,fruit,0,unspecified
Kung Fu Tea,Winter Melon Green Tea,green tea,tea,0,winter mellon,fruit,0,unspecified
Bubbly Tea,Winter Melon,drink,drink,0,winter mellon,fruit,0,unspecified
Boba Fries,Winter Melon Green Tea,green tea,tea,0,winter mellon ,fruit,0,unspecified
Coco Fresh Tea & Juice,Winter Melon Tea with Lemon,tea,tea,0,"winter melon,lemon",fruit,0,unspecified
Yi Fang Taiwan Fruit Tea,Yakult Mountain Tea,green tea,tea,0,yakult,other,0,unspecified
FIFTYLAN Washington Square Park,Yakult Green Tea,green tea,tea,0,yakult,other,0,unspecified
Coco Fresh Tea & Juice,Lemon Yakult,yakult,yogurt,0,yakult,other,0,unspecified
Trutea,Yogurt Slush,slush,slush,0,yogurt,other,0,unspecified
Mr. Buncha,Yuzu Fizzy,fizzy drink,drink,0,yuzu,fruit,0,unspecified
Alimama,Yuzu Detox Lemonade,juice,juice,0,"yuzu,lemon",fruit,0,unspecified
Teado Tea Shop,Litchi Juice,juice,juice,0,lychee,fruit,0,unspecified
Boba Fries,Oolong Milk Tea,Oolong tea,tea,1,0,milk,0,unspecified
Bubbly Tea,Milk Tea,tea,tea,1,0,milk,0,unspecified
FIFTYLAN Washington Square Park,Milk Tea,tea,tea,1,0,milk,0,unspecified
FIFTYLAN Washington Square Park,Hot Milk Tea,tea,tea,1,0,milk,0,unspecified
FIFTYLAN Washington Square Park,Hot Hazelnut Milk Tea,tea,tea,1,0,milk,hazelnut,other
